tipnames	collection_regionname	collection_countryname	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_16507100|suliformes|france|2_1_1_1_1_1_1_1|2022-09-27	western europe	france	other-bird	45.5190780558984	4.54715006428513
H5N1|2344b|EPI_ISL_16507108|suliformes|france|2_1_1_1_1_1_1_1|2022-10-03	western europe	france	other-bird	45.5190780558984	4.54715006428513
H5N1|2344b|EPI_ISL_16632500|accipitriformes|united_states|2_1_1_1_1_1_1_1|2022-04-04	northern america	united states	other-bird	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16632502|accipitriformes|united_states|2_1_1_1_1_1_1_1|2022-04-11	northern america	united states	other-bird	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16632506|strigiformes|united_states|2_1_1_1_1_1_1_1|2022-05-02	northern america	united states	other-bird	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16632513|anseriformes|united_states|2_1_1_1_1_1_1_1|2022-07-08	northern america	united states	anseriformes-wild	45.3675354819537	-69.2414491669595
H5N1|2344b|EPI_ISL_16632518|anseriformes|united_states|2_1_1_1_1_1_1_1|2022-07-07	northern america	united states	anseriformes-wild	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16632521|charadriiformes|united_states|2_1_1_1_1_1_1_1|2022-07-20	northern america	united states	charadriiformes-wild	45.3675354819537	-69.2414491669595
H5N1|2344b|EPI_ISL_16632537|anseriformes|united_states|2_1_1_1_1_1_1_1|2022-07-03	northern america	united states	anseriformes-wild	45.3675354819537	-69.2414491669595
H5N1|2344b|EPI_ISL_16641771|passeriformes|united_states|2_1_1_1_1_1_1_1|2022-03-15	northern america	united states	other-bird	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16641780|anseriformes|united_states|2_1_1_1_1_1_1_1|2022-06-13	northern america	united states	anseriformes-wild	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16641782|anseriformes|united_states|2_1_1_1_1_1_1_1|2022-06-19	northern america	united states	anseriformes-wild	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16641785|charadriiformes|france|2_1_1_1_1_1_1_1|2022-06-14	western europe	france	charadriiformes-wild	45.5190780558984	4.54715006428513
H5N1|2344b|EPI_ISL_16641796|strigiformes|united_states|2_1_1_1_1_1_1_1|2022-02-07	northern america	united states	other-bird	42.2600509271849	-71.808843036148
H5N1|2344b|EPI_ISL_16675872|struthioniformes|south_africa|2_1_1_1_1_1_1_1|2022-11-21	southern africa	south africa	other-bird	-28.6110435828424	26.8801631625401
H5N1|2344b|EPI_ISL_16676447|charadriiformes|south_africa|2_1_1_1_1_1_1_1|2022-06-17	southern africa	south africa	charadriiformes-wild	-33.016256445291	20.6109109128761
H5N1|2344b|EPI_ISL_16698477|galliformes|japan|2_1_1_1_1_1_1_1|2023-01-11	eastern asia	japan	galliformes-domestic	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_16698546|accipitriformes|japan|2_1_1_1_1_1_1_1|2022-10-21	eastern asia	japan	other-bird	37.5201743528051	138.914818034069
H5N1|2344b|EPI_ISL_16747602|accipitriformes|belgium|2_1_1_1_1_1_1_1|2022-01-03	western europe	belgium	other-bird	51.0391095671615	4.2420548599892
H5N1|2344b|EPI_ISL_16810105|charadriiformes|belgium|2_1_1_1_1_1_1_1|2022-09-07	western europe	belgium	charadriiformes-wild	51.0391095671615	4.2420548599892
