tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_644147.galliformes.russia.1.2020-08-06	H5N8	2020-08-06	2020.6	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	chelyabinsk	ru.cl	54.4531161547399	60.406021972363	Europe / Russia / Chelyabinsk Oblast / Chelyabinsk / NA	2020-08-06	profile001	galliformes	60.406021972363	54.4531161547399
H5N8.2344b.EPI_ISL_654835.galliformes.russia.1.2020-08-27	H5N8	2020-08-27	2020.65	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	kurgan	ru.ku	55.4734051858522	64.8219230597649	Europe / Russia / Kurgan region / NA / NA	2020-08-27	profile001	galliformes	64.8219230597649	55.4734051858522
H5N8.2344b.EPI_ISL_1114763.galliformes.russia.1.2021-01-05	H5N8	2021-01-05	2021.01	2021-01-01	central asia	russia	rus	66.0376616061812	95.7970903417469	krasnoyarsk	ru.kx	65.951077439978	95.3658732364833	Europe / Russia / Krasnodar Krai / Krasnodar / NA	2021-01-05	profile001	galliformes	95.3658732364833	65.951077439978
H5N8.2344b.EPI_ISL_644135.galliformes.russia.1.2020-08-17	H5N8	2020-08-17	2020.63	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	omsk	ru.om	56.0596108837778	73.3669499849514	Europe / Russia / Omsk Oblast / Omsk / NA	2020-08-17	profile001	galliformes	73.3669499849514	56.0596108837778
H5N8.2344b.EPI_ISL_1114747.galliformes.russia.1.2020-10-25	H5N8	2020-10-25	2020.81	2020-10-01	eastern europe	russia	rus	66.0376616061812	95.7970903417469	rostov	ru.ro	47.725861660493	41.3470662241277	Europe / Russia / Rostov Oblast / Rostov-on-Don / NA	2020-10-25	profile001	galliformes	41.3470662241277	47.725861660493
H5N8.2344b.EPI_ISL_654821.galliformes.russia.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	eastern europe	russia	rus	66.0376616061812	95.7970903417469	saratov	ru.sr	51.5994582882348	46.8369479833559	Europe / Russia / Saratov Oblast / Saratov / NA	2020-09-15	profile001	galliformes	46.8369479833559	51.5994582882348
H5N8.2344b.EPI_ISL_1114750.galliformes.russia.1.2020-12-11	H5N8	2020-12-11	2020.94	2020-12-01	eastern europe	russia	rus	66.0376616061812	95.7970903417469	stavropol'	ru.st	44.927089080414	43.4103582512603	Europe / Russia / Stavropol Krai / Stavropol / NA	2020-12-11	profile001	galliformes	43.4103582512603	44.927089080414
H5N8.2344b.EPI_ISL_1114736.galliformes.russia.1.2020-09-26	H5N8	2020-09-26	2020.73	2020-09-01	central asia	russia	rus	66.0376616061812	95.7970903417469	tyumen'	ru.ty	57.6472366156513	69.1218349161945	Europe / Russia / Tyumen Oblast / Tyumen / NA	2020-09-26	profile001	galliformes	69.1218349161945	57.6472366156513
H5N8.2344b.EPI_ISL_826283.galliformes.sweden.1.2020-12-21	H5N8	2020-12-21	2020.97	2020-12-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Svedala Kommun / NA	2020-12-21	profile001	galliformes	13.595146733816	55.9474024317265
H5N1.2344b.EPI_ISL_13369399.galliformes.united_kingdom.5.2021-11-02	H5N1	2021-11-02	2021.84	2021-11-01	northern europe	united kingdom	gbr	54.0438440515314	-2.78687513666638	NA	NA	NA	NA	Europe / United Kingdom / England / NA / NA	2021-11-02	profile001	galliformes	-2.78687513666638	54.0438440515314
H5N5.2344b.EPI_ISL_5061617.galliformes.germany.36.2020-11-09	H5N5	2020-11-09	2020.86	2020-11-01	western europe	germany	deu	51.0533277435649	10.373650933319	mecklenburg-vorpommern	de.mv	53.7551744161606	12.5509509363277	Europe / Germany / Schleswig-Holstein / Vorpommern-RÃ¼gen / NA	2020-11-09	profile001	galliformes	12.5509509363277	53.7551744161606
H5N5.2344b.EPI_ISL_660264.galliformes.belgium.36.2020-11-18	H5N5	2020-11-18	2020.88	2020-11-01	western europe	belgium	bel	50.64017310615	4.66939027974939	vlaanderen	na	51.0391095671615	4.2420548599892	Europe / Belgium / Provincie West-Vlaanderen / Menen / NA	2020-11-18	profile001	galliformes	4.2420548599892	51.0391095671615
H5N8.2344b.EPI_ISL_5115763.galliformes.germany.293.2021-03-02	H5N8	2021-03-02	2021.16	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	nordrhein-westfalen	de.nw	51.4777551092159	7.5539349720828	Europe / Germany / North Rhine-Westphalia / Minden-LÃ¼bbecke / NA	2021-03-02	profile001	galliformes	7.5539349720828	51.4777551092159
H5N1.NA.EPI_ISL_18112322.galliformes.united_kingdom.NA.2021-02-10	H5N1	2021-02-10	2021.11	2021-02-01	northern europe	united kingdom	gbr	54.0438440515314	-2.78687513666638	scotland	na	56.7931587491509	-4.20419908814114	NA	2021-02-10	profile001	galliformes	-4.20419908814114	56.7931587491509
H5N8.NA.EPI_ISL_4061481.galliformes.nigeria.NA.2021-02-10	H5N8	2021-02-10	2021.11	2021-02-01	western africa	nigeria	nga	9.58907159716497	8.08769036750384	NA	NA	NA	NA	NA	2021-02-10	profile001	galliformes	8.08769036750384	9.58907159716497
H5N3.2344b.EPI_ISL_1206285.charadriiformes.germany.64.2020-12-30	H5N3	2020-12-30	2020.99	2020-12-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / Aurich / NA	2020-12-30	profile001	charadriiformes	9.16783937293005	52.7642105761026
H5N3.2344b.EPI_ISL_1205485.charadriiformes.germany.64.2020-12-14	H5N3	2020-12-14	2020.95	2020-12-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	Europe / Germany / Schleswig-Holstein / Nordfriesland / NA	2020-12-14	profile001	charadriiformes	9.81577342948134	54.1814850326718
H5N3.2344b.EPI_ISL_2234807.charadriiformes.ireland.64.2021-01-01	H5N3	2021-01-01	2021	2021-01-01	northern europe	ireland	irl	53.1625189533631	-8.16313556364258	NA	NA	NA	NA	Europe / Ireland / NA / NA / NA	2021-01-01	profile001	charadriiformes	-8.16313556364258	53.1625189533631
H5N8.2344b.EPI_ISL_5126214.strigiformes.germany.1.2021-03-10	H5N8	2021-03-10	2021.19	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	sachsen-anhalt	de.st	52.0090264158216	11.7027467770331	Europe / Germany / Saxony-Anhalt / Altmarkkreis Salzwedel / NA	2021-03-10	profile001	strigiformes	11.7027467770331	52.0090264158216
H5N8.NA.EPI_ISL_718224.strigiformes.sweden.NA.2020-11-01	H5N8	2020-11-01	2020.83	2020-11-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	NA	NA	NA	NA	NA	2020-11-01	profile001	strigiformes	16.2835241791686	62.374013544985
H5N8.2344b.EPI_ISL_623074.galliformes.iraq.1.2020-05-12	H5N8	2020-05-12	2020.36	2020-05-01	western asia	iraq	irq	33.017872044376	43.8055120134245	ninawa	iq.ni	35.9913317126514	42.4617230992077	Asia / Iraq / Muhafazat Ninawa / NA / NA	2020-05-12	profile001	galliformes	42.4617230992077	35.9913317126514
H5N8.2344b.EPI_ISL_14874401.galliformes.kazakhstan.1.2020-08-01	H5N8	2020-08-01	2020.58	2020-08-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	NA	NA	NA	NA	Asia / Kazakhstan / NA / NA / NA	2020-08-01	profile001	galliformes	67.2060737287064	48.3645677524915
H5N8.2344b.EPI_ISL_13632084.galliformes.kazakhstan.1.2020-08-01	H5N8	2020-08-01	2020.58	2020-08-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	almaty	kz.aa	44.9554808695858	77.9603747475348	Asia / Kazakhstan / Almaty Province / NA / NA	2020-08-01	profile001	galliformes	77.9603747475348	44.9554808695858
H5N8.2344b.EPI_ISL_7380813.anseriformes.china.1.2021-03	H5N8	NA	NA	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-03	profile001	anseriformes	113.398153372919	23.33624359406
H5N8.2344b.EPI_ISL_5260421.anseriformes.china.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangxi	cn.gx	23.82591453975	108.782865094166	Asia / China / Guangxi / NA / NA	2021-02-01	profile001	anseriformes	108.782865094166	23.82591453975
H5N8.2344b.EPI_ISL_14836025.anseriformes.china.1.2020-11-14	H5N8	2020-11-14	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-14	profile001	anseriformes	113.614527263456	33.8761853651454
H5N8.2344b.EPI_ISL_5260448.anseriformes.china.1.2021-03-19	H5N8	2021-03-19	2021.21	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hunan	cn.hn	27.5978523947888	111.713471439142	Asia / China / Hunan / NA / NA	2021-03-19	profile001	anseriformes	111.713471439142	27.5978523947888
H5N8.2344b.EPI_ISL_2555538.anseriformes.china.1.2020-11-16	H5N8	2020-11-16	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Jiangxi Province / NA / NA	2020-11-16	profile001	anseriformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_625671.anseriformes.china.1.2020-10-17	H5N8	2020-10-17	2020.79	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	nei mongol	cn.nm	44.083329648604	113.188484632426	Asia / China / Inner Mongolia Autonomous Region / NA / NA	2020-10-17	profile001	anseriformes	113.188484632426	44.083329648604
H5N8.2344b.EPI_ISL_14819900.anseriformes.china.1.2021-03-11	H5N8	2021-03-11	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2021-03-11	profile001	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_1760448.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shaanxi	cn.sa	35.1531910315733	108.845281415025	Asia / China / Shaanxi Province / NA / NA	2020-11-10	profile001	anseriformes	108.845281415025	35.1531910315733
H5N8.2344b.EPI_ISL_7349517.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	Asia / China / Sichuan Province / NA / NA	2021-01	profile001	anseriformes	102.711402322843	30.6066264180489
H5N8.2344b.EPI_ISL_1822597.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shanxi	cn.sx	37.5496375119255	112.274268590565	Asia / China / Shanxi Province / NA / NA	2020-11-10	profile001	anseriformes	112.274268590565	37.5496375119255
H5N8.2344b.EPI_ISL_978915.anseriformes.japan.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	ibaraki	jp.ib	36.3027610877484	140.318971903473	Asia / Japan / Ibaraki / NA / NA	2021-02-01	profile001	anseriformes	140.318971903473	36.3027610877484
H5N8.2344b.EPI_ISL_1081353.anseriformes.japan.1.2021-02-14	H5N8	2021-02-14	2021.12	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	tochigi	jp.tc	36.6894768729176	139.818920628006	Asia / Japan / Tochigi / NA / NA	2021-02-14	profile001	anseriformes	139.818920628006	36.6894768729176
H5N8.2344b.EPI_ISL_1009711.anseriformes.south_korea.1.2021-01-06	H5N8	2021-01-06	2021.01	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2021-01-06	profile001	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_1009698.anseriformes.south_korea.1.2020-11-25	H5N8	2020-11-25	2020.9	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / GG / NA / NA	2020-11-25	profile001	anseriformes	127.181023197189	37.5315346337798
H5N6.2344b.EPI_ISL_6757629.anseriformes.china.290.2021-03	H5N6	NA	NA	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-03	profile001	anseriformes	113.398153372919	23.33624359406
H5N8.NA.EPI_ISL_4062439.anseriformes.china.NA.2020-11-01	H5N8	2020-11-01	2020.83	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	NA	NA	NA	NA	NA	2020-11-01	profile001	anseriformes	103.513718494908	36.6848135465548
H5N8.NA.EPI_ISL_14839943.anseriformes.china.NA.2021-01-15	H5N8	2021-01-15	2021.04	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	NA	2021-01-15	profile001	anseriformes	113.614527263456	33.8761853651454
H5N8.NA.EPI_ISL_14823405.anseriformes.china.NA.2021-01-27	H5N8	2021-01-27	2021.07	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	NA	2021-01-27	profile001	anseriformes	112.277189482252	30.9806813015582
H5N8.NA.EPI_ISL_14822426.anseriformes.china.NA.2021-03-11	H5N8	2021-03-11	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	xizang	cn.xz	31.7354796576819	88.2546629070738	NA	2021-03-11	profile001	anseriformes	88.2546629070738	31.7354796576819
H5N8.NA.EPI_ISL_17086347.anseriformes.japan.NA.2021-02-04	H5N8	2021-02-04	2021.09	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	NA	2021-02-04	profile001	anseriformes	140.198261340312	35.5094511865639
H5N6.2344b.EPI_ISL_3770740.na.china.73.2021-07-14	H5N6	2021-07-14	2021.53	2021-07-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangxi	cn.gx	23.82591453975	108.782865094166	Asia / China / Guangxi Zhuang Autonomous Region / NA / NA	2021-07-14	profile001	na	108.782865094166	23.82591453975
H5N8.2344b.EPI_ISL_2555536.charadriiformes.china.1.2020-11-16	H5N8	2020-11-16	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Jiangxi Province / NA / NA	2020-11-16	profile001	charadriiformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_7381026.galliformes.china.1.2021-03	H5N8	NA	NA	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	liaoning	cn.ln	41.2987124958383	122.600275282862	Asia / China / Liaoning Province / NA / NA	2021-03	profile001	galliformes	122.600275282862	41.2987124958383
H5N8.2344b.EPI_ISL_985222.galliformes.japan.1.2021-02-06	H5N8	2021-02-06	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	Asia / Japan / Chiba / NA / NA	2021-02-06	profile001	galliformes	140.198261340312	35.5094511865639
H5N8.2344b.EPI_ISL_1041134.galliformes.japan.1.2021-02-08	H5N8	2021-02-08	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	tokushima	jp.ts	33.9191788356518	134.242093496813	Asia / Japan / Tokushima / NA / NA	2021-02-08	profile001	galliformes	134.242093496813	33.9191788356518
H5N6.2344b.EPI_ISL_6772739.galliformes.china.127.2021-08	H5N6	NA	NA	2021-08-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-08	profile001	galliformes	113.398153372919	23.33624359406
H5N6.2344b.EPI_ISL_6760686.galliformes.china.291.2021-06	H5N6	NA	NA	2021-06-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hebei	cn.hb	39.5182972347816	116.100714730353	Asia / China / Hebei Province / NA / NA	2021-06	profile001	galliformes	116.100714730353	39.5182972347816
H5N8.2344b.EPI_ISL_5260468.podicipediformes.china.1.2021-06-15	H5N8	2021-06-15	2021.45	2021-06-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia / NA / NA	2021-06-15	profile001	podicipediformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_5260467.podicipediformes.china.1.2021-06-05	H5N8	2021-06-05	2021.42	2021-06-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shaanxi	cn.sa	35.1531910315733	108.845281415025	Asia / China / Shaanxi / NA / NA	2021-06-05	profile001	podicipediformes	108.845281415025	35.1531910315733
H5N8.2344b.EPI_ISL_1939617.strigiformes.china.1.2020-11-11	H5N8	2020-11-11	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-11	profile001	strigiformes	113.614527263456	33.8761853651454
H5N8.NA.EPI_ISL_17086355.environment.japan.NA.2021-02-14	H5N8	2021-02-14	2021.12	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	nagano	jp.nn	36.1299846593869	138.044001511612	NA	2021-02-14	profile001	environment	138.044001511612	36.1299846593869
H5N8.NA.EPI_ISL_17086341.environment.japan.NA.2021-02-09	H5N8	2021-02-09	2021.11	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	tokushima	jp.ts	33.9191788356518	134.242093496813	NA	2021-02-09	profile001	environment	134.242093496813	33.9191788356518
H5N8.2344b.EPI_ISL_4061714.accipitriformes.japan.10.2021-02-03	H5N8	2021-02-03	2021.09	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	hokkaido	jp.hk	43.3824165431654	142.542521870972	Asia / Japan / Hokkaido / NA / NA	2021-02-03	profile002	accipitriformes	142.542521870972	43.3824165431654
H5N8.2344b.EPI_ISL_1240997.accipitriformes.japan.10.2021-03-03	H5N8	2021-03-03	2021.17	2021-03-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	tochigi	jp.tc	36.6894768729176	139.818920628006	Asia / Japan / Tochigi / NA / NA	2021-03-03	profile002	accipitriformes	139.818920628006	36.6894768729176
H5N8.2344b.EPI_ISL_16718460.accipitriformes.japan.16.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / NA / NA / NA	2021-02-01	profile002	accipitriformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_1184517.accipitriformes.japan.16.2021-02-24	H5N8	2021-02-24	2021.15	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	toyama	jp.ty	36.6374969915777	137.269020761504	Asia / Japan / Toyama / NA / NA	2021-02-24	profile002	accipitriformes	137.269020761504	36.6374969915777
H5N8.NA.EPI_ISL_17086221.accipitriformes.japan.NA.2020-12-20	H5N8	2020-12-20	2020.97	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	nara	jp.nr	34.3169016713112	135.871480614117	NA	2020-12-20	profile001	accipitriformes	135.871480614117	34.3169016713112
H5N8.2344b.EPI_ISL_4061713.anseriformes.japan.10.2021-02-08	H5N8	2021-02-08	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	fukushima	jp.fs	37.3790195184946	140.222918340857	Asia / Japan / Fukushima / NA / NA	2021-02-08	profile002	anseriformes	140.222918340857	37.3790195184946
H5N8.2344b.EPI_ISL_697771.anseriformes.japan.10.2020-10-24	H5N8	2020-10-24	2020.81	2020-10-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	hokkaido	jp.hk	43.3824165431654	142.542521870972	Asia / Japan / Hokkaido / NA / NA	2020-10-24	profile002	anseriformes	142.542521870972	43.3824165431654
H5N8.2344b.EPI_ISL_4071019.anseriformes.japan.10.2020-11-05	H5N8	2020-11-05	2020.84	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / Kagoshima / NA / NA	2020-11-05	profile002	anseriformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_985233.anseriformes.japan.10.2021-02-08	H5N8	2021-02-08	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	niigata	jp.ni	37.5201743528051	138.914818034069	Asia / Japan / Niigata / NA / NA	2021-02-08	profile002	anseriformes	138.914818034069	37.5201743528051
H5N8.2344b.EPI_ISL_985179.anseriformes.south_korea.10.2020-11-26	H5N8	2020-11-26	2020.9	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollabuk-do	kr.cb	35.7159281817874	127.140659781938	Asia / Korea / JB / NA / NA	2020-11-26	profile002	anseriformes	127.140659781938	35.7159281817874
H5N8.2344b.EPI_ISL_985204.anseriformes.south_korea.10.2020-12-23	H5N8	2020-12-23	2020.98	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-23	profile002	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_631824.anseriformes.south_korea.10.2020-10-21	H5N8	2020-10-21	2020.8	2020-10-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongbuk-do	kr.gb	36.737850075983	127.830446360213	Asia / Korea / Chungcheongbuk-do / NA / NA	2020-10-21	profile002	anseriformes	127.830446360213	36.737850075983
H5N8.2344b.EPI_ISL_1009705.anseriformes.south_korea.10.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2020-12-01	profile002	anseriformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_1009696.anseriformes.south_korea.10.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / GG / NA / NA	2020-11-10	profile002	anseriformes	127.181023197189	37.5315346337798
H5N8.2344b.EPI_ISL_5260457.anseriformes.china.16.2021-01-23	H5N8	2021-01-23	2021.06	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / Shandong / NA / NA	2021-01-23	profile002	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_1009684.anseriformes.south_korea.16.2020-12-30	H5N8	2020-12-30	2020.99	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollabuk-do	kr.cb	35.7159281817874	127.140659781938	Asia / Korea / JB / NA / NA	2020-12-30	profile002	anseriformes	127.140659781938	35.7159281817874
H5N8.2344b.EPI_ISL_985189.anseriformes.south_korea.16.2020-12-11	H5N8	2020-12-11	2020.94	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-11	profile002	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_1009704.anseriformes.south_korea.16.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2020-12-01	profile002	anseriformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_1009703.anseriformes.south_korea.16.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / GG / NA / NA	2020-12-01	profile002	anseriformes	127.181023197189	37.5315346337798
H5N8.2344b.EPI_ISL_985181.anseriformes.south_korea.79.2020-12-04	H5N8	2020-12-04	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-04	profile002	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_985200.anseriformes.south_korea.79.2020-12-22	H5N8	2020-12-22	2020.97	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongbuk-do	kr.gb	36.737850075983	127.830446360213	Asia / Korea / CB / NA / NA	2020-12-22	profile002	anseriformes	127.830446360213	36.737850075983
H5N8.NA.EPI_ISL_17086222.anseriformes.japan.NA.2020-11-30	H5N8	2020-11-30	2020.91	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	miyazaki	jp.mz	32.1919114758892	131.298614512671	NA	2020-11-30	profile001	anseriformes	131.298614512671	32.1919114758892
H5N8.NA.EPI_ISL_17086354.anseriformes.japan.NA.2021-01-29	H5N8	2021-01-29	2021.08	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	tokushima	jp.ts	33.9191788356518	134.242093496813	NA	2021-01-29	profile001	anseriformes	134.242093496813	33.9191788356518
H5N8.NA.EPI_ISL_17086343.anseriformes.japan.NA.2020-12-03	H5N8	2020-12-03	2020.92	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	wakayama	jp.wk	33.9113994398813	135.506030353599	NA	2020-12-03	profile001	anseriformes	135.506030353599	33.9113994398813
H5N8.2344b.EPI_ISL_1041177.falconiformes.japan.10.2021-02-15	H5N8	2021-02-15	2021.12	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	tochigi	jp.tc	36.6894768729176	139.818920628006	Asia / Japan / Tochigi / NA / NA	2021-02-15	profile002	falconiformes	139.818920628006	36.6894768729176
H5N8.NA.EPI_ISL_17086344.falconiformes.japan.NA.2020-12-04	H5N8	2020-12-04	2020.92	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	okayama	jp.oy	34.8921234580739	133.826171708594	NA	2020-12-04	profile001	falconiformes	133.826171708594	34.8921234580739
H5N8.2344b.EPI_ISL_854598.galliformes.japan.10.2021-01-10	H5N8	2021-01-10	2021.02	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	Asia / Japan / Chiba / NA / NA	2021-01-10	profile002	galliformes	140.198261340312	35.5094511865639
H5N8.2344b.EPI_ISL_854603.galliformes.japan.10.2021-01-01	H5N8	2021-01-01	2021	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	gifu	jp.gf	35.7777527627362	137.055033768037	Asia / Japan / Gifu / NA / NA	2021-01-01	profile002	galliformes	137.055033768037	35.7777527627362
