tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N1.NA.EPI_ISL_18209365.galliformes.united_kingdom.NA.2023-08-13,H5N1,EPI_ISL_18209365,A/pheasant/Scotland/106191/2023,2023-08-13,2023.61,2023-08,galliformes_wild,galliformes,Phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-32,967,2.3.4.4b,NA,NA,NA,NA,2023-08-13,mp,mp,profile001
H5N1.NA.EPI_ISL_18209364.galliformes.united_kingdom.NA.2023-08-08,H5N1,EPI_ISL_18209364,A/pheasant/Scotland/106145/2023,2023-08-08,2023.6,2023-08,galliformes_wild,galliformes,Phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-32,967,2.3.4.4b,NA,NA,NA,NA,2023-08-08,mp,mp,profile001
H5N1.NA.EPI_ISL_18209363.galliformes.united_kingdom.NA.2023-08-08,H5N1,EPI_ISL_18209363,A/pheasant/Scotland/106109/2023,2023-08-08,2023.6,2023-08,galliformes_wild,galliformes,Phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-32,967,2.3.4.4b,NA,NA,NA,NA,2023-08-08,mp,mp,profile001
H5N1.NA.EPI_ISL_18209359.galliformes.united_kingdom.NA.2023-08-07,H5N1,EPI_ISL_18209359,A/chicken/Scotland/103894/2023,2023-08-07,2023.6,2023-08,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-32,967,2.3.4.4b,NA,NA,NA,NA,2023-08-07,mp,mp,profile001
H5N1.NA.EPI_ISL_18118722.charadriiformes.netherlands.NA.2023-07-21,H5N1,EPI_ISL_18118722,A/Black-headed_Gull/Netherlands/115/2023,2023-07-21,2023.55,2023-07,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2023-29,3818,2.3.4.4b,NA,NA,NA,NA,2023-07-21,mp,mp,profile001
H5N1.NA.EPI_ISL_18118721.charadriiformes.netherlands.NA.2023-07-21,H5N1,EPI_ISL_18118721,A/Black-headed_Gull/Netherlands/114/2023,2023-07-21,2023.55,2023-07,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2023-29,3818,2.3.4.4b,NA,NA,NA,NA,2023-07-21,mp,mp,profile001
H5N1.NA.EPI_ISL_18112333.charadriiformes.united_kingdom.NA.2023-07-08,H5N1,EPI_ISL_18112333,A/kittiwake/England/330253/2023,2023-07-08,2023.52,2023-07,charadriiformes_wild,charadriiformes,Laridae,rissa tridactyla/brevirostris,black-legged/red-legged kittiwake,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,A,2023-27,3733,2.3.4.4b,NA,NA,NA,NA,2023-07-08,mp,mp,profile001
H5N1.NA.EPI_ISL_18075152.falconiformes.netherlands.NA.2023-03-16,H5N1,EPI_ISL_18075152,A/Peregrine_Falcon/Netherlands/14/2023,2023-03-16,2023.2,2023-03,falconiformes_wild,falconiformes,Falconidae,falco peregrinus,peregrine falcon,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2023-11,3818,2.3.4.4b,NA,NA,NA,NA,2023-03-16,mp,mp,profile001
H5N1.NA.EPI_ISL_18075140.anseriformes.netherlands.NA.2023-03-07,H5N1,EPI_ISL_18075140,A/Common_Gull/Netherlands/3/2023,2023-03-07,2023.18,2023-03,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2023-10,3818,2.3.4.4b,NA,NA,NA,NA,2023-03-07,mp,mp,profile001
H5N1.NA.EPI_ISL_18067126.charadriiformes.netherlands.NA.2023-02-09,H5N1,EPI_ISL_18067126,A/Black-headed_gull/Netherlands/6/2023,2023-02-09,2023.11,2023-02,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2023-06,3818,2.3.4.4b,NA,NA,NA,NA,2023-02-09,mp,mp,profile001
H5N1.NA.EPI_ISL_18067125.charadriiformes.netherlands.NA.2023-02-08,H5N1,EPI_ISL_18067125,A/Black-headed_gull/Netherlands/5/2023,2023-02-08,2023.1,2023-02,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2023-06,3818,2.3.4.4b,NA,NA,NA,NA,2023-02-08,mp,mp,profile001
H5N1.NA.EPI_ISL_18065393.anseriformes.united_kingdom.NA.2023-06-21,H5N1,EPI_ISL_18065393,A/common_tern/England/086637/2023,2023-06-21,2023.47,2023-06,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,A,2023-25,3733,2.3.4.4b,NA,NA,NA,NA,2023-06-21,mp,mp,profile001
H5N1.NA.EPI_ISL_18065348.charadriiformes.united_kingdom.NA.2023-06-27,H5N1,EPI_ISL_18065348,A/black-headed_gull/Scotland/087339/2023,2023-06-27,2023.48,2023-06,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,scotland,na,56.7931587491509,-4.20419908814114,A,2023-26,967,2.3.4.4b,NA,NA,NA,NA,2023-06-27,mp,mp,profile001
H5N1.NA.EPI_ISL_18065344.galliformes.united_kingdom.NA.2023-07-23,H5N1,EPI_ISL_18065344,A/partridge/England/097413/2023,2023-07-23,2023.56,2023-07,galliformes_wild,galliformes,Phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,A,2023-29,3733,2.3.4.4b,NA,NA,NA,NA,2023-07-23,mp,mp,profile001
H5N1.NA.EPI_ISL_18065343.galliformes.united_kingdom.NA.2023-07-23,H5N1,EPI_ISL_18065343,A/partridge/England/097407/2023,2023-07-23,2023.56,2023-07,galliformes_wild,galliformes,Phasianidae,phasianidae sp. (pheasant sp.),pheasant sp.,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,A,2023-29,3733,2.3.4.4b,NA,NA,NA,NA,2023-07-23,mp,mp,profile001
H5N1.NA.EPI_ISL_18065342.anseriformes.united_kingdom.NA.2023-07-23,H5N1,EPI_ISL_18065342,A/domestic_duck/England/097245/2023,2023-07-23,2023.56,2023-07,anseriformes_domestic,anseriformes,Anatidae,anas platyrhynchos (domestic type),mallard (domestic type),bird,domestic,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,A,2023-29,3733,2.3.4.4b,NA,NA,NA,NA,2023-07-23,mp,mp,profile001
H5N1.NA.EPI_ISL_18065340.anseriformes.united_kingdom.NA.2023-07-23,H5N1,EPI_ISL_18065340,A/domestic_duck/England/097209/2023,2023-07-23,2023.56,2023-07,anseriformes_domestic,anseriformes,Anatidae,anas platyrhynchos (domestic type),mallard (domestic type),bird,domestic,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,A,2023-29,3733,2.3.4.4b,NA,NA,NA,NA,2023-07-23,mp,mp,profile001
