tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H15N5.NA.EPI_ISL_267161.anseriformes.sweden.NA.2012-12-06,H15N5,EPI_ISL_267161,A/mallard_duck/Sweden/139937/2012,2012-12-06,2012.93,2012-12,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2012-49,3862,NA,NA,NA,NA,NA,2012-12-06,n5,n5,profileNA
H15N5.NA.EPI_ISL_267408.anseriformes.sweden.NA.2012-11-30,H15N5,EPI_ISL_267408,A/mallard_duck/Sweden/139647/2012,2012-11-30,2012.91,2012-11,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2012-48,3862,NA,NA,NA,NA,NA,2012-11-30,n5,n5,profileNA
H15N5.NA.EPI_ISL_267278.anseriformes.sweden.NA.2012-11-28,H15N5,EPI_ISL_267278,A/mallard_duck/Sweden/139579/2012,2012-11-28,2012.91,2012-11,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2012-48,3862,NA,NA,NA,NA,NA,2012-11-28,n5,n5,profileNA
H15N5.NA.EPI_ISL_267395.anseriformes.sweden.NA.2012-12-03,H15N5,EPI_ISL_267395,A/mallard_duck/Sweden/139752/2012,2012-12-03,2012.92,2012-12,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2012-49,3862,NA,NA,NA,NA,NA,2012-12-03,n5,n5,profileNA
H15N5.NA.EPI_ISL_267421.anseriformes.sweden.NA.2012-12-01,H15N5,EPI_ISL_267421,A/mallard_duck/Sweden/139703/2012,2012-12-01,2012.92,2012-12,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,NA,NA,NA,NA,A,2012-48,3862,NA,NA,NA,NA,NA,2012-12-01,n5,n5,profileNA
H7N5.NA.EPI_ISL_267186.anseriformes.netherlands.NA.2014-10-28,H7N5,EPI_ISL_267186,A/mallard_duck/Netherlands/8/2014,2014-10-28,2014.82,2014-10,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2014-44,3818,NA,NA,NA,NA,NA,2014-10-28,n5,n5,profileNA
H12N5.NA.EPI_ISL_267409.anseriformes.netherlands.NA.2011-08-01,H12N5,EPI_ISL_267409,A/mallard_duck/Netherlands/4/2011,2011-08-01,2011.58,2011-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2011-31,3818,NA,NA,NA,NA,NA,2011-08-01,n5,n5,profileNA
H5N5.NA.EPI_ISL_287564.na.netherlands.NA.2016-11-14,H5N5,EPI_ISL_287564,A/T_Dk/NL-Werkendam/16014159-001/2016,2016-11-14,2016.87,2016-11,na_wild,na,NA,NA,NA,other,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,noord-brabant,nl.nb,51.5616727876811,5.19541346074046,A,2016-46,2200,NA,NA,NA,NA,NA,2016-11-14,n5,n5,profileNA
H10N5.NA.EPI_ISL_133000.anseriformes.south_korea.NA.2008-11-01,H10N5,EPI_ISL_133000,A/wild_duck/Korea/SH12-7/2008,2008-11-01,2008.83,2008-11,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,NA,NA,NA,NA,A,2008-44,3775,NA,NA,NA,NA,NA,2008-11-01,n5,n5,profileNA
H2N5.NA.EPI_ISL_189705.charadriiformes.united_states.NA.2012-02-22,H2N5,EPI_ISL_189705,A/black-headed_gull/Republic_of_Georgia/9/2012,2012-02-22,2012.14,2012-02,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,georgia,us.ga,32.6403385373358,-83.4405725551842,A,2012-08,3413,NA,NA,NA,NA,NA,2012-02-22,n5,n5,profileNA
