Taxon	Longitude
H5N1|2344b|EPI_ISL_13453564|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-03-18	-2.78687513666638
H5N1|2344b|EPI_ISL_13453569|strigiformes|united_kingdom|2_1_1_1_1_1_1_1|2022-04-26	-2.78687513666638
H5N1|2344b|EPI_ISL_13453570|charadriiformes|united_kingdom|2_1_1_1_1_1_1_1|2022-04-29	-2.78687513666638
H5N1|2344b|EPI_ISL_13486713|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-02	-2.78687513666638
H5N1|2344b|EPI_ISL_13486748|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-04	-2.78687513666638
H5N1|2344b|EPI_ISL_13486772|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-30	-2.78687513666638
H5N1|2344b|EPI_ISL_13486807|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-03-01	-2.78687513666638
H5N1|2344b|EPI_ISL_13486819|accipitriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-15	-2.78687513666638
H5N1|2344b|EPI_ISL_13486881|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-04	-2.78687513666638
H5N1|2344b|EPI_ISL_13969422|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-03-28	-2.78687513666638
H5N1|2344b|EPI_ISL_13969426|suliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-06-18	-2.78687513666638
H5N1|2344b|EPI_ISL_13969428|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-04-14	-2.78687513666638
H5N1|2344b|EPI_ISL_14064699|passeriformes|japan|2_1_1_1_1_1_1_1|2022-02-07	137.574137168765
H5N1|2344b|EPI_ISL_14064988|passeriformes|japan|2_1_1_1_1_1_1_1|2022-02-09	137.574137168765
H5N1|2344b|EPI_ISL_14070455|carnivora|japan|2_1_1_1_1_1_1_1|2022-04-01	137.574137168765
H5N1|2344b|EPI_ISL_14388346|strigiformes|belgium|2_1_1_1_1_1_1_1|2021-12-23	4.66939027974939
H5N1|2344b|EPI_ISL_14389133|charadriiformes|belgium|2_1_1_1_1_1_1_1|2022-01-06	4.66939027974939
H5N1|2344b|EPI_ISL_14542831|galliformes|south_africa|2_1_1_1_1_1_1_1|2021-05-01	25.1981253246192
H5N1|2344b|EPI_ISL_14573001|suliformes|germany|2_1_1_1_1_1_1_1|2022-06-16	10.373650933319
