cluster_profile,cluster_label,.cluster
4_4_1_1_2_1_1_1,H5N1/2022/R34_NAmerica,3
4_5_1_1_2_1_1_3,H5N1/2023/R29_NAmerica,1
4_5_1_1_7_1_1_3,H5N1/2023/R26_NAmerica,1
5_1_1_1_1_1_1_1,H5N1/2022/R45_NAmerica,3
5_1_1_1_2_1_1_1,H5N1/2022/R2_NAmerica,1
5_1_1_1_2_1_1_3,H5N1/2022/R19_NAmerica,1
5_3_1_1_2_1_1_1,H5N1/2022/R28_NAmerica,3
5_4_9_1_2_1_1_1,H5N1/2022/R29_NAmerica,1
5_4_9_1_2_29_1_1,H5N6/2023/R1_NAmerica,3
5_5_1_1_2_1_1_3,H5N1/2023/R31_NAmerica,3
5_5_9_1_2_1_1_1,H5N1/2023/R1_NAmerica,3
6_1_1_1_2_1_1_1,H5N1/2022/R16_NAmerica,1
6_1_8_1_2_1_1_1,H5N1/2022/R46_NAmerica,3
6_4_1_1_2_1_1_1,H5N1/2022/R10_NAmerica,1
6_4_20_1_2_1_1_1,H5N1/2022/R15_NAmerica,3
6_4_8_1_2_1_1_1,H5N1/2022/R5_NAmerica,3
7_1_13_2_1_3_1_2,H5N8/2020/R17_Asia,1
7_1_21_2_1_3_1_2,H5N8/2020/R12_Asia,1
7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,1
7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,3
7_2_5_2_13_3_1_2,H5N8/2019/R4_Africa,3
7_2_5_2_9_3_1_2,H5N8/2019/R1_Africa,3
7_6_13_2_1_3_1_2,H5N8/2020/R13_Asia,3
7_6_13_2_3_3_1_2,H5N8/2020/R14_Asia,3
7_6_5_2_1_3_1_2,H5N8/2020/R15_Asia,1
7_9_5_2_1_3_1_2,H5N8/2020/R16_Asia,1
8_10_1_1_2_1_1_3,H5N1/2023/R28_NAmerica,3
8_5_1_1_1_1_1_3,H5N1/2023/R24_NAmerica,3
8_5_1_1_2_1_1_3,H5N1/2023/R6_NAmerica,1
8_5_1_1_7_1_1_3,H5N1/2023/R25_NAmerica,3
9_1_1_1_1_1_1_1,H5N1/2023/R34_Asia,3
9_1_1_1_5_1_1_5,H5N1/2022/R68_Asia,3
9_1_6_1_5_1_1_1,H5N1/2023/R33_Asia,3
9_1_7_1_5_1_1_1,H5N1/2022/R58_Asia,3
9_1_7_1_5_1_1_5,H5N1/2022/R60_Asia,3
9_9_13_1_5_1_1_5,H5N1/2022/R56_Asia,3
2_5_1_1_1_1_1_11,H5N1/2023/R27_NAmerica,3
2_6_1_4_6_1_1_1,H5N1/2023/R14_Asia,3
4_4_14_1_1_1_1_11,H5N1/2023/R30_NAmerica,3
7_2_5_2_5_3_1_2,H5N8/2020/R10_Africa,3
