tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_17353838.galliformes.colombia.5_3_1_1_2_1_1_4.2022-11-18	H5N1	2022-11-18	2022.88	2022-11	2022	south america	colombia	3.88807090888846	-73.0744382518538	profile004	5_3_1_1_2_1_1_4	dominant	galliformes	TRUE	galliformes-domestic	-74.2577076184347	10.2313388378974
H5N1.2344b.EPI_ISL_17353839.anseriformes.colombia.4_4_8_1_2_1_1_1.2022-10-09	H5N1	2022-10-09	2022.77	2022-10	2022	south america	colombia	3.88807090888846	-73.0744382518538	profile001	4_4_8_1_2_1_1_1	major	anseriformes	TRUE	anseriformes-wild	-76.9341377836413	5.93194075736459
H5N1.2344b.EPI_ISL_17468386.unknown.chile.5_3_1_1_2_1_1_4.2023-03-24	H5N1	2023-03-24	2023.22	2023-03	2023	south america	chile	-36.352932692973	-71.0631434301439	profile004	5_3_1_1_2_1_1_4	dominant	unknown	FALSE	unknown	-69.1155261199782	-23.5276504572593
H5N1.2344b.EPI_ISL_17660071.galliformes.peru.5_3_1_1_2_1_1_4.2022-11-11	H5N1	2022-11-11	2022.86	2022-11	2022	south america	peru	-9.12690950582405	-74.3967035676846	profile004	5_3_1_1_2_1_1_4	dominant	galliformes	TRUE	galliformes-domestic	-74.3967035676846	-9.12690950582405
H5N1.2344b.EPI_ISL_17660072.galliformes.peru.5_3_1_1_2_1_1_4.2022-11-11	H5N1	2022-11-11	2022.86	2022-11	2022	south america	peru	-9.12690950582405	-74.3967035676846	profile004	5_3_1_1_2_1_1_4	dominant	galliformes	TRUE	galliformes-domestic	-74.3967035676846	-9.12690950582405
H5N1.2344b.EPI_ISL_17660073.strigiformes.peru.5_3_1_1_2_1_1_4.2022-11-11	H5N1	2022-11-11	2022.86	2022-11	2022	south america	peru	-9.12690950582405	-74.3967035676846	profile004	5_3_1_1_2_1_1_4	dominant	strigiformes	TRUE	other	-74.3967035676846	-9.12690950582405
H5N1.2344b.EPI_ISL_17660074.suliformes.peru.5_3_1_1_2_1_1_4.2022-11-11	H5N1	2022-11-11	2022.86	2022-11	2022	south america	peru	-9.12690950582405	-74.3967035676846	profile004	5_3_1_1_2_1_1_4	dominant	suliformes	TRUE	other	-74.3967035676846	-9.12690950582405
H5N1.NA.EPI_ISL_16854401.pelecaniformes.venezuela.NA.2022-11-25	H5N1	2022-11-25	2022.9	2022-11	2022	south america	venezuela	7.13172612392755	-66.1349690012146	profileNA	NA	NA	pelecaniformes	TRUE	other	-66.1349690012146	7.13172612392755
H5N1.NA.EPI_ISL_18107019.anseriformes.united_states.NA.2022-09-22	H5N1	2022-09-22	2022.72	2022-09	2022	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-91.9998874220998	31.0706065513525
H5N1.2344b.EPI_ISL_17373072.anseriformes.united_states.4_1_1_1_2_1_1_8.2022-11-01	H5N1	2022-11-01	2022.83	2022-11	2022	northern america	united states	44.75294654392	-103.651025114044	profile008	4_1_1_1_2_1_1_8	dominant	anseriformes	TRUE	anseriformes-wild	-79.3865256785998	35.5562842108177
H5N1.NA.EPI_ISL_16854409.pelecaniformes.venezuela.NA.2022-11-25	H5N1	2022-11-25	2022.9	2022-11	2022	south america	venezuela	7.13172612392755	-66.1349690012146	profile008	NA	NA	pelecaniformes	TRUE	other	-66.1349690012146	7.13172612392755
H5N1.NA.EPI_ISL_16013753.pelecaniformes.venezuela.NA.2022-11-25	H5N1	2022-11-25	2022.9	2022-11	2022	south america	venezuela	7.13172612392755	-66.1349690012146	profile008	NA	NA	pelecaniformes	TRUE	other	-66.1349690012146	7.13172612392755
H5N1.2344b.EPI_ISL_17373142.accipitriformes.united_states.4_1_1_1_2_1_1_8.2022-12-05	H5N1	2022-12-05	2022.93	2022-12	2022	northern america	united states	44.75294654392	-103.651025114044	profile008	4_1_1_1_2_1_1_8	dominant	accipitriformes	TRUE	other	-98.3790702772394	38.4941000350806
H5N1.NA.EPI_ISL_18107018.anseriformes.united_states.NA.2022-09-22	H5N1	2022-09-22	2022.72	2022-09	2022	northern america	united states	44.75294654392	-103.651025114044	profile008	NA	NA	anseriformes	TRUE	anseriformes-wild	-91.9998874220998	31.0706065513525
H5N1.2344b.EPI_ISL_17373063.anseriformes.united_states.4_1_1_1_2_1_1_8.2022-12-05	H5N1	2022-12-05	2022.93	2022-12	2022	northern america	united states	44.75294654392	-103.651025114044	profile008	4_1_1_1_2_1_1_8	dominant	anseriformes	TRUE	anseriformes-wild	-98.3790702772394	38.4941000350806
H5N1.2344b.EPI_ISL_17471576.accipitriformes.united_states.4_1_1_1_2_1_1_8.2022-12-02	H5N1	2022-12-02	2022.92	2022-12	2022	northern america	united states	44.75294654392	-103.651025114044	profile008	4_1_1_1_2_1_1_8	dominant	accipitriformes	TRUE	other	-98.3790702772394	38.4941000350806
H5N1.NA.EPI_ISL_16969373.anseriformes.united_states.NA.2022-12-12	H5N1	2022-12-12	2022.95	2022-12	2022	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-111.660302645327	34.2752608160835
H7N3.NA.EPI_ISL_701658.anseriformes.united_states.NA.2017-11-04	H7N3	2017-11-04	2017.84	2017-11	2017	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-92.4583278415207	38.3563815994258
H8N4.NA.EPI_ISL_266500.anseriformes.united_states.NA.2015-12-05	H8N4	2015-12-05	2015.93	2015-12	2015	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-119.469343089956	37.1829246180653
H10N3.NA.EPI_ISL_294046.anseriformes.united_states.NA.2017-01-25	H10N3	2017-01-25	2017.07	2017-01	2017	northern america	united states	44.75294654392	-103.651025114044	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-86.3497234635721	35.859232079721
H12N4.NA.EPI_ISL_379057.anseriformes.guatemala.NA.2014-08-01	H12N4	2014-08-01	2014.58	2014-08	2014	central america	guatemala	15.6933922665433	-90.3570371453821	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-90.3570371453821	15.6933922665433
H5N3.NA.EPI_ISL_379049.anseriformes.guatemala.NA.2013-08-01	H5N3	2013-08-01	2013.58	2013-08	2013	central america	guatemala	15.6933922665433	-90.3570371453821	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-90.3570371453821	15.6933922665433
H5N3.NA.EPI_ISL_379048.anseriformes.guatemala.NA.2013-08-01	H5N3	2013-08-01	2013.58	2013-08	2013	central america	guatemala	15.6933922665433	-90.3570371453821	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-90.3570371453821	15.6933922665433
H5N3.NA.EPI_ISL_379043.anseriformes.guatemala.NA.2013-08-01	H5N3	2013-08-01	2013.58	2013-08	2013	central america	guatemala	15.6933922665433	-90.3570371453821	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	-90.3570371453821	15.6933922665433
