tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,cluster_profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N1|2344b|EPI_ISL_16891402|charadriiformes|chile|4_3_1_1_2_1_1_3|2022-12-02,H5N1,EPI_ISL_16891402,a/black_skimmer/chile/c61962/2022,2022-12-02,2022-12,2022,Aves,charadriiformes,laridae,rynchops niger,black skimmer,TRUE,wild,charadriiformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,NA,NA,NA,NA,South America / Chile / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-02,cluster003,FALSE
H5N1|2344b|EPI_ISL_17099964|pelecaniformes|peru|4_3_1_1_2_1_1_3|2022-12-01,H5N1,EPI_ISL_17099964,a/pelecanus/peru/vfar-140/2022,2022-12-01,2022-12,2022,Aves,pelecaniformes,pelecanidae,pelecanus sp.,pelican sp.,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,ica,pe.ic,-14.2339783641518,-75.5762320808058,"South America / Peru / Departamento de Ica / Beaches of the Tambo de Mora (Chincha Alta/Chincha/Ica/Peru), / (Chincha Alta/Chincha/Ica/Peru),",H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12-01,cluster003,FALSE
H5N1|2344b|EPI_ISL_17165223|pelecaniformes|peru|4_3_1_1_2_1_1_3|2022-12,H5N1,EPI_ISL_17165223,a/pelecanus/peru/vfar-140/2022,NA,2022-12,2022,Aves,pelecaniformes,pelecanidae,pelecanus sp.,pelican sp.,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-12,cluster003,FALSE
H5N1|2344b|EPI_ISL_17353507|galliformes|ecuador|4_3_1_1_2_1_1_3|2022-11-08,H5N1,EPI_ISL_17353507,a/chicken/bolivar/ica-3500/2022,2022-11-08,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,ecuador,ecu,-1.42626322906002,-78.7715622756661,bolivar,ec.bo,-1.58721983309051,-79.1068925338894,South America / Colombia / Departamento de Bolivar / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-08,cluster003,FALSE
H5N1|2344b|EPI_ISL_17353508|galliformes|colombia|5_4_9_1_2_1_1_1|2022-11-13,H5N1,EPI_ISL_17353508,a/chicken/choco/ica-3502/2022,2022-11-13,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,colombia,col,3.88807090888846,-73.0744382518538,chocó,co.ch,5.93194075736459,-76.9341377836413,South America / Colombia / Departamento del Choco / NA / NA,H5N1/2022/R13_NAmerica,5_4_9_1_2_1_1_1,H5N1/2022/R29_NAmerica,2344b,2022-11-13,cluster004,FALSE
H5N1|2344b|EPI_ISL_17353509|galliformes|colombia|5_4_9_1_2_1_1_1|2022-11-01,H5N1,EPI_ISL_17353509,a/chicken/choco/ica-3504/2022,2022-11-01,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,colombia,col,3.88807090888846,-73.0744382518538,chocó,co.ch,5.93194075736459,-76.9341377836413,South America / Colombia / Departamento del Choco / NA / NA,H5N1/2022/R13_NAmerica,5_4_9_1_2_1_1_1,H5N1/2022/R29_NAmerica,2344b,2022-11-01,cluster004,FALSE
H5N1|2344b|EPI_ISL_17353510|galliformes|colombia|4_3_1_1_2_1_1_3|2022-11-26,H5N1,EPI_ISL_17353510,a/chicken/cordoba/ica-3499/2022,2022-11-26,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,colombia,col,3.88807090888846,-73.0744382518538,córdoba,co.co,8.35147117483191,-75.7978121726542,South America / Colombia / Departamento de Cordoba / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-26,cluster003,FALSE
H5N1|2344b|EPI_ISL_17353838|galliformes|colombia|4_3_1_1_2_1_1_3|2022-11-18,H5N1,EPI_ISL_17353838,a/chicken/magdalena/ica-3503/2022,2022-11-18,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,colombia,col,3.88807090888846,-73.0744382518538,magdalena,co.ma,10.2313388378974,-74.2577076184347,South America / Colombia / Departamento del Magdalena / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-18,cluster003,FALSE
H5N1|2344b|EPI_ISL_17353839|anseriformes|colombia|5_4_9_1_2_1_1_1|2022-10-09,H5N1,EPI_ISL_17353839,a/duck/choco/ica-3501/2022,2022-10-09,2022-10,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,south america,colombia,col,3.88807090888846,-73.0744382518538,chocó,co.ch,5.93194075736459,-76.9341377836413,South America / Colombia / Departamento del Choco / NA / NA,H5N1/2022/R13_NAmerica,5_4_9_1_2_1_1_1,H5N1/2022/R29_NAmerica,2344b,2022-10-09,cluster004,FALSE
H5N1|2344b|EPI_ISL_17468386|unknown|chile|4_3_1_1_2_1_1_3|2023-03-24,H5N1,EPI_ISL_17468386,a/chile/25945/2023,2023-03-24,2023-03,2023,unknown,unknown,unknown,homo sapiens,unknown,FALSE,wild,unknown,south america,chile,chl,-36.352932692973,-71.0631434301439,antofagasta,cl.an,-23.5276504572593,-69.1155261199782,South America / Chile / Region de Antofagasta / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2023-03-24,cluster003,FALSE
H5N1|2344b|EPI_ISL_17660070|galliformes|peru|4_3_1_1_2_1_1_3|2022-11-11,H5N1,EPI_ISL_17660070,a/chicken/peru/23-005607-001-original/2022,2022-11-11,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-11,cluster003,FALSE
H5N1|2344b|EPI_ISL_17660071|galliformes|peru|4_3_1_1_2_1_1_3|2022-11-11,H5N1,EPI_ISL_17660071,a/chicken/peru/23-005607-002-original/2022,2022-11-11,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-11,cluster003,FALSE
H5N1|2344b|EPI_ISL_17660072|galliformes|peru|4_3_1_1_2_1_1_3|2022-11-11,H5N1,EPI_ISL_17660072,a/chicken/peru/23-005607-003-original/2022,2022-11-11,2022-11,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-11,cluster003,FALSE
H5N1|2344b|EPI_ISL_17660073|strigiformes|peru|4_3_1_1_2_1_1_3|2022-11-11,H5N1,EPI_ISL_17660073,a/owl/peru/23-005629-001-original/2022,2022-11-11,2022-11,2022,Aves,strigiformes,strigidae,strigiformes sp.,owl sp.,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-11,cluster003,FALSE
H5N1|2344b|EPI_ISL_17660074|suliformes|peru|4_3_1_1_2_1_1_3|2022-11-11,H5N1,EPI_ISL_17660074,a/brown_booby/peru/23-005629-003-original/2022,2022-11-11,2022-11,2022,Aves,suliformes,sulidae,sula leucogaster,brown booby,TRUE,wild,other,south america,peru,per,-9.12690950582405,-74.3967035676846,NA,NA,NA,NA,South America / Peru / NA / NA / NA,H5N1/2022/R8_NAmerica,4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,2344b,2022-11-11,cluster003,FALSE
