cluster_profile,tmrca,host_simplifiedhost
11111111,2020-05-13,anseriformes-wild
11111111,2020-02-01,anseriformes-wild
11111111,2019-12-03,anseriformes-wild
11111111,2020-08-14,anseriformes-wild
11111111,2020-01-21,charadriiformes-wild
11111111,2020-02-28,galliformes-domestic
11111111,2020-01-11,anseriformes-wild
11111111,2019-12-09,anseriformes-wild
11111111,2020-09-28,anseriformes-wild
11111111,2020-01-11,anseriformes-wild
11111111,2020-07-17,anseriformes-wild
11111111,2020-02-09,anseriformes-wild
11111111,2020-06-14,anseriformes-wild
11111111,2020-08-24,anseriformes-wild
11111111,2019-12-18,other-bird
11111111,2019-09-29,anseriformes-wild
11111111,2019-02-07,anseriformes-wild
11111111,2020-10-11,anseriformes-wild
11111111,2020-07-17,anseriformes-wild
11111111,2020-02-28,anseriformes-wild
11111111,2020-03-17,anseriformes-wild
11111111,2020-07-28,anseriformes-wild
11111111,2019-12-30,anseriformes-wild
11111111,2020-07-06,anseriformes-wild
11111111,2020-03-04,anseriformes-wild
11111111,2020-07-17,anseriformes-wild
11111111,2020-06-07,anseriformes-wild
11111111,2020-06-06,other-bird
11111111,2020-08-30,anseriformes-wild
11111111,2020-06-21,anseriformes-wild
11111111,2019-08-31,anseriformes-wild
11111111,2019-04-21,galliformes-domestic
11111111,2020-06-07,anseriformes-wild
11111111,2019-12-05,anseriformes-wild
11111111,2020-06-11,anseriformes-wild
11111111,2020-03-29,anseriformes-wild
11111111,2020-01-04,anseriformes-wild
11111111,2018-01-27,other-bird
11111111,2020-05-22,anseriformes-wild
11111111,2020-05-31,anseriformes-wild
11111111,2019-07-09,anseriformes-wild
11111111,2020-08-12,anseriformes-wild
11111111,2020-04-05,anseriformes-wild
11111111,2020-04-03,anseriformes-wild
11111111,2019-07-09,environment
11111111,2019-06-01,anseriformes-wild
11111111,2020-06-07,anseriformes-wild
11111111,2019-12-13,anseriformes-wild
11111111,2020-04-02,anseriformes-wild
11111111,2020-06-26,anseriformes-wild
11111111,2020-10-16,anseriformes-wild
11111111,2020-06-04,anseriformes-wild
11111111,2020-03-17,anseriformes-wild
11111111,2020-05-08,anseriformes-wild
11111111,2019-04-22,galliformes-domestic
11111111,2020-04-21,anseriformes-wild
11111111,2020-05-22,anseriformes-wild
11111111,2020-07-14,anseriformes-wild
11111111,2020-03-21,anseriformes-wild
11111111,2020-12-26,anseriformes-wild
11111111,2019-09-16,anseriformes-wild
11111111,2019-09-12,other-bird
11111111,2020-06-01,anseriformes-wild
11111111,2020-11-01,anseriformes-wild
11111111,2020-05-15,anseriformes-wild
11111111,2019-10-06,anseriformes-wild
11111111,2020-09-14,anseriformes-wild
11111111,2020-09-10,anseriformes-wild
