tipnames,sequence_isolate,sequence_id,virus_subtype,collection_date,collection_year,host_commonname,host_sciname,host_order,host_family,host_class,collection_country,collection_subdiv1,collection_subdiv1_hanzi,collection_subdiv2,collection_subdiv2_hanzi,geometry,elevation,elevation_class,old_tipnames
H5N8|2344b|EPI_ISL_14819900|anseriformes|china|NA|2021-03-11,EPI_ISL_14819900,Y16,H5N8,2021-03-11,2021,eastern spot-billed duck,anas zonorhyncha,anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Shizuishan,石嘴山市,"c(106.52304, 38.9133499)",1099,low,A_Spot-billed_Duck_Ningxia_Y16_2021_H5N8
H5N8|2344b|EPI_ISL_14822356|anseriformes|china|NA|2021-03-11,EPI_ISL_14822356,Y26,H5N8,2021-03-11,2021,eastern spot-billed duck,anas zonorhyncha,anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Shizuishan,石嘴山市,"c(106.52304, 38.9133499)",1099,low,A_Spot-billed_Duck_Ningxia_Y26_2021_H5N8
H5N8|2344b|EPI_ISL_14822357|anseriformes|china|NA|2021-03-09,EPI_ISL_14822357,Y54,H5N8,2021-03-09,2021,duck sp.,anatidae (duck sp.),anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Shizuishan,石嘴山市,"c(106.52304, 38.9133499)",1099,low,A_Wild_Duck_Ningxia_Y54_2021_H5N8
H5N8|2344b|EPI_ISL_14819898|anseriformes|china|NA|2021-03-09,EPI_ISL_14819898,Y95,H5N8,2021-03-09,2021,duck sp.,anatidae (duck sp.),anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Shizuishan,石嘴山市,"c(106.52304, 38.9133499)",1099,low,A_Wild_Duck_Ningxia_Y95_2021_H5N8
H5N8|2344b|EPI_ISL_14819899|anseriformes|china|NA|2021-03-09,EPI_ISL_14819899,Y99,H5N8,2021-03-09,2021,duck sp.,anatidae (duck sp.),anseriformes,anatidae,Aves,China,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,Shizuishan,石嘴山市,"c(106.52304, 38.9133499)",1099,low,A_Wild_Duck_Ningxia_Y99_2021_H5N8
H5N8|2344b|EPI_ISL_14819894|charadriiformes|china|NA|2021-01-17,EPI_ISL_14819894,D197,H5N8,2021-01-17,2021,black-headed gull,chroicocephalus ridibundus,charadriiformes,laridae,Aves,China,Yunnan,雲南|云南,Kunming,昆明市,"c(102.64049, 24.66663)",1918,low,A_Black-headed_Gull_Yunnan_D197_2021_H5N8
H5N8|2344b|EPI_ISL_14823423|anseriformes|china|NA|2021-01-17,EPI_ISL_14823423,H68,H5N8,2021-01-17,2021,goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves,China,Hubei,湖北,Huangshi,黄石市,"c(115.384364, 29.875847)",15,sea-level,A_Wild_geese_Hubei_H68_2021_H5N8
H5N8|2344b|EPI_ISL_14823215|anseriformes|china|NA|2021-01-17,EPI_ISL_14823215,H159,H5N8,2021-01-17,2021,goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves,China,Hubei,湖北,Huangshi,黄石市,"c(115.384364, 29.875847)",15,sea-level,A_Wild_geese_Hubei_H159_2021_H5N8
H5N8|2344b|EPI_ISL_14823308|anseriformes|china|NA|2021-01-17,EPI_ISL_14823308,H262,H5N8,2021-01-17,2021,goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves,China,Hubei,湖北,Huangshi,黄石市,"c(115.384364, 29.875847)",15,sea-level,A_Wild_geese_Hubei_H262_2021_H5N8
H5N8|2344b|EPI_ISL_14823421|anseriformes|china|NA|2021-01-17,EPI_ISL_14823421,H418,H5N8,2021-01-17,2021,goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves,China,Hubei,湖北,Huangshi,黄石市,"c(115.384364, 29.875847)",15,sea-level,A_Wild_geese_Hubei_H418_2021_H5N8
