weighted_diff_coeff,median_anseriformes_wild,median_charadriiformes_wild,segment,collection_regionname,season
0,0,0,pa,europe,migrating_autumn
0,9.884910081657369,0,pb1,europe,migrating_spring
27133.04,0.21757587810087564,0.34064497532446936,pb1,europe,migrating_autumn
1245.881,0,0,pb1,europe,breeding
432.8131,0,0,pb1,europe,overwintering
126484.2,0.3103762321716861,0,pb1,europe,migrating_autumn
42211.25,0.8283566736533725,0,pb1,europe,breeding
97157.42,0.03084873868663606,0,pb1,europe,overwintering
1883.28,0.2943420216107313,0,pb1,europe,overwintering
0,0.03840445830895689,0,pb1,europe,overwintering
0,0.2780673295956202,0,pb1,europe,migrating_autumn
227622.3,0,0,pb1,europe,migrating_autumn
0,0.2138429343756183,0,pb1,europe,breeding
42628.12,0.1140744161073215,0,pb1,europe,migrating_autumn
0,4.118699769251982,0,pb1,europe,migrating_autumn
765.0714,0.8169552805786182,0,pb1,europe,breeding
0,3.336289403919194,0,pb1,asia,migrating_spring
24045.35,0,0.2144774764739754,pb1,europe,migrating_autumn
483727.9,0,0.5250297764298884,pb1,europe,migrating_autumn
303872.7,0.2974373670111099,0,pb1,asia,overwintering
204975.4,0,1.4920308396773443,pb1,europe,breeding
273271.5,0.06266546781530913,0.1703288880197107,pb1,asia,overwintering
207.1298,0,0,pb1,europe,overwintering
0,2.6876195709699005,0,pb1,europe,overwintering
69711.6,5.290691787742477,0,pb1,europe,overwintering
0,0,3.157073020458677,pb1,asia,migrating_autumn
79494.04,0.7324510837651061,0,pb1,europe,overwintering
0,0.6447798508883071,0,pb1,europe,migrating_autumn
634978.4,0.527434265554195,0,pb1,europe,overwintering
0,0.22886140503440977,0,pb1,europe,migrating_autumn
1316.273,0.25911229165926564,0,pb1,europe,migrating_autumn
112.7735,0.3437487312864942,0,pb1,europe,overwintering
0,0.5878859742480369,0,pb1,europe,migrating_spring
0,0.31104821072939615,0,pb1,europe,migrating_autumn
0,0.17657724007364806,0,pb1,europe,migrating_autumn
0,0.2881621021830236,0,pb1,europe,migrating_autumn
0,0.12994348307457138,0.3798211108532694,pb1,europe,migrating_autumn
311273.5,0.22529171164870343,0,pb1,europe,migrating_autumn
0,0.10893172613947044,0,pb1,europe,breeding
0,0.12218342770929702,0.08672196990071868,pb1,europe,migrating_spring
106496,0,0.41872967866543753,pb1,europe,migrating_autumn
0,0,0.16596771668072563,pb1,europe,breeding
2368.424,0,0,pb1,europe,breeding
172029.7,0.55519410758167,0.22224469526391477,pb1,europe,breeding
0,0.5524271376826775,0,pb1,europe,breeding
0,0.3092493228656572,0,pb1,europe,breeding
100480.5,0.5752418747589205,0,pb1,europe,migrating_autumn
0,0.460016109364048,0,pb1,europe,migrating_spring
312230.1,0.1412468550511612,0,pb1,europe,breeding
4876.51,0,0,pb1,asia,breeding
11635.84,0,0,pb1,europe,overwintering
0,0.30655328063276954,4.893766878097738,pb1,asia,breeding
0,0,0,pb1,europe,breeding
0,0,0,pb1,europe,overwintering
243756.3,0.08433498367079828,0,pb1,europe,breeding
0,1.7571565071966244,0,pb1,europe,overwintering
1236.755,0,0,pb1,europe,breeding
