tipnames	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_985190|anseriformes|south_korea|1_9_5_2_3_3_1_2|2020-12-11	eastern asia	south korea	profile0003	anseriformes-wild	34.8733358026855	126.897223705092
H5N8|2344b|EPI_ISL_985209|galliformes|south_korea|1_1_7_2_3_3_1_5|2020-12-28	eastern asia	south korea	profile0003	galliformes-domestic	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_1009706|NA|south_korea|1_1_7_2_3_3_1_5|2020-12-02	eastern asia	south korea	profile0003	other-bird	36.3474789243827	128.748576389097
H5N8|2344b|EPI_ISL_17086231|environment|japan|NA|2020-12-07	eastern asia	japan	profile0003	environment	34.6052446200593	132.788104542609
H5N8|2344b|EPI_ISL_17086230|environment|japan|NA|2020-12-06	eastern asia	japan	profile0003	environment	34.3169016713112	135.871480614117
H5N8|2344b|EPI_ISL_710450|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-05	eastern asia	japan	profile0003	galliformes-domestic	34.3169016713112	135.871480614117
H5N8|2344b|EPI_ISL_710436|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-06	eastern asia	japan	profile0003	galliformes-domestic	34.6052446200593	132.788104542609
H5N8|2344b|EPI_ISL_985210|galliformes|south_korea|1_1_7_2_3_3_1_5|2020-12-28	eastern asia	south korea	profile0003	galliformes-domestic	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_985200|anseriformes|south_korea|1_1_7_2_3_3_1_5|2020-12-22	eastern asia	south korea	profile0003	anseriformes-wild	36.737850075983	127.830446360213
H5N8|2344b|EPI_ISL_985181|anseriformes|south_korea|1_1_7_2_3_3_1_5|2020-12-04	eastern asia	south korea	profile0003	anseriformes-wild	34.8733358026855	126.897223705092
H5N8|2344b|EPI_ISL_985208|anseriformes|south_korea|1_1_7_2_3_3_1_5|2020-12-27	eastern asia	south korea	profile0003	anseriformes-wild	35.7159281817874	127.140659781938
H5N8|2344b|EPI_ISL_1009704|anseriformes|south_korea|12_1_5_2_3_3_1_2|2020-12-01	eastern asia	south korea	profile0003	anseriformes-wild	36.5298116066164	126.847825775926
H5N8|2344b|EPI_ISL_1009697|NA|south_korea|12_1_5_2_3_3_1_2|2020-11-23	eastern asia	south korea	profile0003	other-bird	35.7159281817874	127.140659781938
