name,isolate_id,isolate_name,subtype,location,host,date,domestic_status,clade,date_complete,date_frac,date_year,date_year_month,date_yday,date_year_week,location_1,location_2,location_3,location_4,location_5,location_n,location_c1,location_c2,host_meta,host_order,domestic_wild,host_class,cluster_pb2,cluster_pb1,cluster_pa,cluster_ha,cluster_np,cluster_na,cluster_mp,cluster_ns,cluster_profile,profile_lab,cluster_genome
EPI_ISL_china_39|H5N1|a/bar-headed_goose/qinghai/shk-6/2022|2022-06-18|2022.46,EPI_ISL_china_39,A/Bar-headed_goose/Qinghai/SHK-6/2022,H5N1,Asia / China / Qinghai,bar-headed_goose,18/06/2022,wild,NA,TRUE,2022.46,2022,2022-06,169,2022.25,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,bar-headed_goose,Anseriformes,wild,Anseriformes wild,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_40|H5N1|a/crested_grebe/qinghai/03-zz-s/2022|2022-07-21|2022.551,EPI_ISL_china_40,A/Crested_grebe/Qinghai/03-ZZ-S/2022,H5N1,Asia / China / Qinghai,crested_grebe,21/07/2022,wild,NA,TRUE,2022.551,2022,2022-07,202,2022.29,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,crested_grebe,Podicipediformes,wild,Avian other,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_41|H5N1|a/brown-headed_gull/qinghai/05-zz-c/2022|2022-07-22|2022.553,EPI_ISL_china_41,A/Brown-headed_gull/Qinghai/05-ZZ-C/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_42|H5N1|a/brown-headed_gull/qinghai/01-zz-g/2022|2022-07-21|2022.551,EPI_ISL_china_42,A/Brown-headed_gull/Qinghai/01-ZZ-G/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,21/07/2022,wild,NA,TRUE,2022.551,2022,2022-07,202,2022.29,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_43|H5N1|a/brown-headed_gull/qinghai/02-zz-c/2022|2022-07-21|2022.551,EPI_ISL_china_43,A/Brown-headed_gull/Qinghai/02-ZZ-C/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,21/07/2022,wild,NA,TRUE,2022.551,2022,2022-07,202,2022.29,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_44|H5N1|a/brown-headed_gull/qinghai/02-zz-n/2022|2022-07-22|2022.553,EPI_ISL_china_44,A/Brown-headed_gull/Qinghai/02-ZZ-N/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_45|H5N1|a/brown-headed_gull/qinghai/05-zz-n/2022|2022-07-22|2022.553,EPI_ISL_china_45,A/Brown-headed_gull/Qinghai/05-ZZ-N/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_46|H5N1|a/brown-headed_gull/qinghai/06-zz-x/2022|2022-07-22|2022.553,EPI_ISL_china_46,A/Brown-headed_gull/Qinghai/06-ZZ-X/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_47|H5N1|a/brown-headed_gull/qinghai/06-zz-f/2022|2022-07-22|2022.553,EPI_ISL_china_47,A/Brown-headed_gull/Qinghai/06-ZZ-F/2022,H5N1,Asia / China / Qinghai,brown-headed_gull,22/07/2022,wild,NA,TRUE,2022.553,2022,2022-07,203,2022.3,Asia,China,Qinghai,NA,NA,qinghai,qinghai,qinghai,brown-headed_gull,Charadriiformes,wild,Charadriiformes,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
EPI_ISL_china_2023081|H5N1|a/tundra_swan/hubei/hbyg35/2021|2021-11-19|2021.882,EPI_ISL_china_2023081,A/tundra_swan/Hubei/HBYG35/2021,H5N1,Asia / China / Hubei,tundra_swan,19/11/2021,wild,NA,TRUE,2021.882,2021,2021-11,323,2021.47,Asia,China,Hubei,NA,NA,hubei,hubei,hubei,tundra_swan,Anseriformes,wild,Anseriformes wild,1,1,1,1,1,1,1,1,1_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,19
