tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_9690841.charadriiformes.netherlands.1_1_2_1_1_1_1_1.2022-01-03	H5N1	2022-01-03	2022.01	2022-01	2022	western europe	netherlands	52.2573048104135	5.56251311224367	profile001	1_1_2_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	4.46477045234472	51.9374604216783
H5N1.2344b.EPI_ISL_16113230.charadriiformes.denmark.1_1_2_1_1_1_1_1.2022-06-19	H5N1	2022-06-19	2022.46	2022-06	2022	northern europe	denmark	55.9512996898935	10.0707816763207	profile001	1_1_2_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	9.67257639647962	57.0522607274982
H5N1.2344b.EPI_ISL_16113229.charadriiformes.denmark.1_1_2_1_1_1_1_1.2022-06-17	H5N1	2022-06-17	2022.46	2022-06	2022	northern europe	denmark	55.9512996898935	10.0707816763207	profile001	1_1_2_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	9.67257639647962	57.0522607274982
H5N1.2344b.EPI_ISL_16113225.charadriiformes.denmark.1_1_2_1_1_1_1_1.2022-06-14	H5N1	2022-06-14	2022.45	2022-06	2022	northern europe	denmark	55.9512996898935	10.0707816763207	profile001	1_1_2_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	11.7026524381832	55.2791973821106
H5N1.2344b.EPI_ISL_11922815.anseriformes.italy.10_1_1_1_1_1_1_7.2021-12-08	H5N1	2021-12-08	2021.93	2021-12	2021	southern europe	italy	42.7080607219025	12.208345049127	profile010	10_1_1_1_1_1_1_7	major	anseriformes	TRUE	anseriformes-wild	12.7721450906831	41.979336323661
H5N1.2344b.EPI_ISL_11922814.anseriformes.poland.2_1_1_1_1_1_1_1.2022-02-17	H5N1	2022-02-17	2022.13	2022-02	2022	eastern europe	poland	52.1141994014432	19.4236724631525	profile002	2_1_1_1_1_1_1_1	dominant	anseriformes	TRUE	anseriformes-wild	19.4236724631525	52.1141994014432
H5N1.2344b.EPI_ISL_11922813.anseriformes.poland.24_1_25_1_14_1_1_7.2022-02-10	H5N1	2022-02-10	2022.11	2022-02	2022	eastern europe	poland	52.1141994014432	19.4236724631525	profile024	24_1_25_1_14_1_1_7	major	anseriformes	TRUE	anseriformes-wild	19.4236724631525	52.1141994014432
H5N1.2344b.EPI_ISL_15957998.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-15	H5N1	2022-11-15	2022.87	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957984.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-14	H5N1	2022-11-14	2022.87	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_15957972.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-13	H5N1	2022-11-13	2022.87	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
