tipnames	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_16405670.environment.japan.10.2020-12-07	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805849.environment.japan.10.2020-11-30	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_4071019.Anseriformes.japan.10.2020-11-05	Anseriformes_wild	Anseriformes	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_697771.Anseriformes.japan.10.2020-10-24	Anseriformes_wild	Anseriformes	eastern asia	44	143	profile003
H5N8.EPI_ISL_738057.Galliformes.japan.10.2020-12-18	Galliformes_domestic	Galliformes	eastern asia	34.0702703	134.5548438	profile003
H5N8.EPI_ISL_17086335.environment.japan.NA.2020-12-19	unknown	environment	eastern asia	34.0702703	134.5548438	profile003
H5N8.EPI_ISL_738058.Galliformes.japan.10.2020-12-18	Galliformes_domestic	Galliformes	eastern asia	34.0702703	134.5548438	profile003
H5N8.EPI_ISL_854602.Galliformes.japan.10.2021-01-01	Galliformes_domestic	Galliformes	eastern asia	35.4232984	136.7606537	profile003
H5N8.EPI_ISL_854603.Galliformes.japan.10.2021-01-01	Galliformes_domestic	Galliformes	eastern asia	35.4232984	136.7606537	profile003
H5N8.EPI_ISL_17086336.Galliformes.japan.NA.2021-01-02	Galliformes_domestic	Galliformes	eastern asia	35.4232984	136.7606537	profile003
H5N8.EPI_ISL_1041178.Falconiformes.japan.10.2021-02-15	Falconiformes_wild	Falconiformes	eastern asia	36.3813638	139.7303175	profile003
H5N8.EPI_ISL_1240997.Accipitriformes.japan.10.2021-03-03	Accipitriformes_wild	Accipitriformes	eastern asia	36.3813638	139.7303175	profile003
H5N8.EPI_ISL_4061714.Accipitriformes.japan.10.2021-02-03	Accipitriformes_wild	Accipitriformes	eastern asia	44	143	profile003
H5N8.EPI_ISL_854595.Galliformes.japan.10.2021-01-10	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile003
H5N8.EPI_ISL_1273415.Galliformes.japan.10.2021-02-01	Galliformes_domestic	Galliformes	eastern asia	36.2869206	140.4245143	profile003
H5N8.EPI_ISL_1041180.Anseriformes.japan.10.2021-02-13	Anseriformes_wild	Anseriformes	eastern asia	37.9161924	139.0364126	profile003
H5N8.EPI_ISL_17805814.environment.japan.10.2020-12-21	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_16718461.Gruiformes.japan.10.2021-02-03	Gruiformes_wild	Gruiformes	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17086342.environment.japan.NA.2020-11-16	unknown	environment	eastern asia	37.9161924	139.0364126	profile003
H5N8.EPI_ISL_17805882.NA.japan.10.2021-02-03	unknown	NA	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_17086222.Anseriformes.japan.NA.2020-11-30	Anseriformes_wild	Anseriformes	eastern asia	31.9076736	131.4202411	profile003
H5N8.EPI_ISL_16405678.environment.japan.10.2020-12-21	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_1241004.Strigiformes.japan.10.2021-02-16	Strigiformes_wild	Strigiformes	eastern asia	36.3813638	139.7303175	profile003
H5N8.EPI_ISL_1009679.Anseriformes.south_korea.10.2020-12-28	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile003
H5N8.EPI_ISL_985232.Anseriformes.japan.10.2021-02-08	Anseriformes_wild	Anseriformes	eastern asia	37.9161924	139.0364126	profile003
H5N8.EPI_ISL_17086221.Accipitriformes.japan.NA.2020-12-20	Accipitriformes_wild	Accipitriformes	eastern asia	34.6850869	135.8050002	profile003
H5N8.EPI_ISL_4061713.Anseriformes.japan.10.2021-02-08	Anseriformes_wild	Anseriformes	eastern asia	37.7607226	140.4733561	profile003
H5N8.EPI_ISL_16405667.environment.japan.10.2020-11-30	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
H5N8.EPI_ISL_17805841.environment.japan.10.2020-11-30	unknown	environment	eastern asia	36.204824	138.252924	profile003
H5N8.EPI_ISL_1009697.NA.south_korea.16.2020-11-23	unknown	NA	eastern asia	35.7197	127.1244	profile003
H5N8.EPI_ISL_985183.Galliformes.south_korea.16.2020-12-07	Galliformes_wild	Galliformes	eastern asia	36.8	127.7	profile003
H5N8.EPI_ISL_1009701.Anseriformes.south_korea.16.2020-11-26	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244	profile003
H5N8.EPI_ISL_1009700.Anseriformes.south_korea.16.2020-11-26	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868	profile003
H5N8.EPI_ISL_1009703.Anseriformes.south_korea.16.2020-12-01	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868	profile003
H5N8.EPI_ISL_1009704.Anseriformes.south_korea.16.2020-12-01	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile003
H5N8.EPI_ISL_1184518.Accipitriformes.japan.16.2021-02-24	Accipitriformes_wild	Accipitriformes	eastern asia	36.6959518	137.2136768	profile003
H5N8.EPI_ISL_978909.Galliformes.japan.16.2021-01-22	Galliformes_domestic	Galliformes	eastern asia	36.6959518	137.2136768	profile003
H5N8.EPI_ISL_17086339.Galliformes.japan.NA.2021-01-23	Galliformes_domestic	Galliformes	eastern asia	36.6959518	137.2136768	profile003
H5N8.EPI_ISL_17086354.Anseriformes.japan.NA.2021-01-29	Anseriformes_wild	Anseriformes	eastern asia	34.0702703	134.5548438	profile003
H5N8.EPI_ISL_985192.Galliformes.south_korea.16.2020-12-14	Galliformes_domestic	Galliformes	eastern asia	35.7197	127.1244	profile003
H5N8.EPI_ISL_985203.Anseriformes.south_korea.16.2020-12-23	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile003
H5N8.EPI_ISL_985202.Anseriformes.south_korea.16.2020-12-23	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244	profile003
H5N8.EPI_ISL_16405663.environment.japan.10.2020-11-30	unknown	environment	eastern asia	31.5965535	130.5571158	profile003
